name_canonical,name_variants,type,lat,lng,province_rvn,province_modern,source_url,confidence,notes
A Lưới Camp,A Luoi Camp,camp,16.26861,107.22861,,Thừa Thiên Huế,https://en.wikipedia.org/wiki/A_L%C6%B0%E1%BB%9Bi_Camp,medium,from: army
An Hoa Combat Base,,marine_base,15.78500,108.07300,,Quảng Nam,https://en.wikipedia.org/wiki/An_Hoa_Combat_Base,medium,from: marine; coord via Wikidata P625
An Khê,An Khe|An Khe District|An Khê Town|An Khê District|An Khê district-level town,town,13.95306,108.65694,,Gia Lai,https://en.wikipedia.org/wiki/An_Kh%C3%AA,medium,from: town
"An Lão, Gia Lai","An Lão, Bình Định|An Lao, Gia Lai",town,14.61083,108.89194,,Bình Định,https://en.wikipedia.org/wiki/An_L%C3%A3o%2C_Gia_Lai,medium,from: town
"An Nhơn, Bình Định","An Nhon District|An Nhơn Town|An Nhơn District|An Nhơn district|An Nhon, Binh Dinh",town,13.91700,109.08300,,Bình Định,https://en.wikipedia.org/wiki/An_Nh%C6%A1n%2C_B%C3%ACnh_%C4%90%E1%BB%8Bnh,medium,from: town
"An Nhơn, Gia Lai","Dap Da|Đập Đá|An Nhon, Gia Lai",town,13.92028,109.09139,,Bình Định,https://en.wikipedia.org/wiki/An_Nh%C6%A1n%2C_Gia_Lai,medium,from: town
Ayun Pa,Cheo Reo|A Yun Pa|Ayun Pa District|Hậu Bổn|Hau Bon|Ayun Pa district-level town,town,13.39389,108.44083,,Gia Lai,https://en.wikipedia.org/wiki/Ayun_Pa,medium,from: town
Ba Đồn,Ba Don|Ba Đồn district-level town,town,17.75472,106.42306,,Quảng Bình,https://en.wikipedia.org/wiki/Ba_%C4%90%E1%BB%93n,medium,from: town; coord via Wikidata P625
Bà Rịa,"Ba Ria|Bà Rịa, Bà Rịa-Vũng Tàu|Bà Rịa, Bà Rịa–Vũng Tàu|Bà Rịa (city)",city,10.49917,107.16750,,Bà Rịa–Vũng Tàu,https://en.wikipedia.org/wiki/B%C3%A0_R%E1%BB%8Ba,medium,from: city
"Bắc Bình, Lâm Đồng","Bắc Bình|Chợ Lầu|Bac Binh, Lam Dong",town,11.22083,108.50972,,Bình Thuận,https://en.wikipedia.org/wiki/B%E1%BA%AFc_B%C3%ACnh%2C_L%C3%A2m_%C4%90%E1%BB%93ng,medium,from: town
Bắc Nha Trang,"Vĩnh Thọ, Nha Trang|Vĩnh Phước, Nha Trang|Vĩnh Hòa, Nha Trang|Vĩnh Phương|Vĩnh Lương|Vĩnh Hải, Nha Trang|Bac Nha Trang",town,12.28139,109.18972,,Khánh Hòa,https://en.wikipedia.org/wiki/B%E1%BA%AFc_Nha_Trang,medium,from: town
